Uploaded Date,Approved Date,Terms,Carrier,MC #,DOT #,Ref. #,Carrier Inv #,Net Amt Due,Pay By,Payment Status,InvoiceKey,PayeeKey,Invoice Draft Id,AppliedToKey
04/27/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,500FAS,$1.00 ,Wire *5098,Paid,a134P00000GIy10QAD,0014P00003i1dW1QAI,200387,
04/27/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,499FAS,$400.00 ,Wire *5098,Paid,a134P00000GIy0vQAD,0014P00003i1dW1QAI,200387,
04/30/23,04/28/23,SDQP,Eb Empire Inc,1117120,3438689,,30059_16E,$900.00 ,ACH *3010,Paid,a134P00000GIyBmQAL,0014P000042LTbHQAW,200387,
04/30/23,04/28/23,SDQP,Eb Empire Inc,1117120,3438689,,30058_15E,$900.00 ,ACH *3010,Paid,a134P00000GIyBhQAL,0014P000042LTbHQAW,200387,
04/28/23,04/28/23,SDQP,WARDWAY TRUCKING LLC,1165032,3515473,,379944TRE,$300.00 ,ACH *9226,Paid,a134P00000GIy7AQAT,0014P00004DZUDGQA5,200387,
05/12/23,04/10/23,SP,LAKE COUNTRY BROKERAGE SERVICE LLC,1499760,3994927,,DDL30601LC,"$1,338.31 ",ACH *3319,Pending,a134P00000GJ0axQAD,0014P00004Alf3FQAR,200387,
05/23/23,04/17/23,SP,Clover Trucking Inc,1109399,3098996,,13009-0-A,"$5,400.00 ",Check,Paid,a134P00000GIy23QAD,0014P00003zPxqWQAS,200387,
05/25/23,04/24/23,SP,Grass Roots Truckin LLC,847560,2454529,,10047G,$600.00 ,ACH *8508,Paid,a134P00000GJ2CRQA1,0014P00003npA5wQAE,200387,
05/25/23,04/27/23,SP,EL GIBBOR LLC,1214374,3588119,,DDL30070TRP,"$3,000.00 ",ACH to TRIUMPH FINANCIAL SERVICES,Paid,a134P00000GIy2EQAT,0014P00004DWiBcQAL,200387,
04/30/23,04/29/23,SP,Industrial Express Service Inc,545103,1442359,,37799I,$500.00 ,Check,Paid,a134P00000GIyC6QAL,0014P00003lsIGkQAM,200387,
04/30/23,04/29/23,SP,Industrial Express Service Inc,545103,1442359,,37787I,$850.00 ,Check,Paid,a134P00000GIyC1QAL,0014P00003lsIGkQAM,200387,
04/30/23,04/29/23,SP,Industrial Express Service Inc,545103,1442359,,37786I,"$1,050.00 ",Check,Paid,a134P00000GIyBwQAL,0014P00003lsIGkQAM,200387,
04/30/23,04/29/23,SP,KB Xpress,,,,6196KB,$600.00 ,Check,Paid,a134P00000GIxGIQA1,0014P00003kIgHhQAK,200387,
05/01/23,04/29/23,SP,Pacific Lanes,073376,3093723,,2245ENG,"$1,201.50 ",ACH to MITSUBISHI HC CAPITAL AMERICA,Paid,a134P00000GIyLaQAL,0014P00003i74PrQAI,200387,
05/01/23,04/29/23,SP,Pacific Lanes,073376,3093723,,2238ENG,"$1,201.50 ",ACH to MITSUBISHI HC CAPITAL AMERICA,Paid,a134P00000GIyLVQA1,0014P00003i74PrQAI,200387,
05/01/23,04/29/23,SP,Pacific Lanes,073376,3093723,,2242ENG,"$1,067.67 ",ACH to MITSUBISHI HC CAPITAL AMERICA,Paid,a134P00000GIyLLQA1,0014P00003i74PrQAI,200387,
05/01/23,04/29/23,SP,Pacific Lanes,073376,3093723,,2241ENG,"$1,348.63 ",ACH to MITSUBISHI HC CAPITAL AMERICA,Paid,a134P00000GIyLGQA1,0014P00003i74PrQAI,200387,
